Id,Time,Lat,Lng,Temperature,Humidity,Pm2.5,Pm10,Pm1,Co2,Co,Hcho,Tvoc
74DA3895C270,2018-07-13 11:02:10,24.15,24.15,33.62,100,42,50,31,0,0,0,0
74DA3895C272,2018-07-13 11:04:00,23.269352,23.269352,31,100,34,41,25,0,0,0,0
74DA3895C276,2018-07-13 11:00:17,24.172070,24.172070,30.87,71,42,51,30,0,0,0,0
74DA3895C278,2018-07-13 11:00:40,24.248819,24.248819,32.37,97,41,52,28,0,0,0,0
74DA3895C27A,2018-07-13 11:05:27,24.143,24.143,35.5,64,38,48,28,0,0,0,0
74DA3895C282,2018-07-13 11:01:08,24.276,24.276,29,66,21,22,18,0,0,0,0
74DA3895C292,2018-07-13 11:02:11,24.1430,24.1430,32.75,61,32,37,24,0,0,0,0
74DA3895C294,2018-07-13 11:00:54,24.1510,24.1510,31,66,42,54,30,0,0,0,0
74DA3895C296,2018-07-13 11:03:45,24.382338,24.382338,29.25,100,26,28,20,0,0,0,0
74DA3895C29E,2018-07-13 11:00:57,24.420265,24.420265,29,86,26,31,19,0,0,0,0
74DA3895C2A4,2018-07-13 11:03:22,24.184,24.184,31.12,100,39,49,27,0,0,0,0
74DA3895C2A6,2018-07-13 11:00:47,24.198088,24.198088,30.12,100,37,46,27,0,0,0,0
74DA3895C2AA,2018-07-13 11:01:34,24.1400,24.1400,38.37,96,39,49,28,0,0,0,0
74DA3895C2AE,2018-07-13 11:01:42,24.1980,24.1980,31.37,100,38,44,27,0,0,0,0
74DA3895C2B0,2018-07-13 11:01:09,22.9910,22.9910,29,75,17,18,13,0,0,0,0
74DA3895C2B4,2018-07-13 11:02:09,24.176,24.176,31.37,64,32,41,23,0,0,0,0
74DA3895C2B6,2018-07-13 11:03:41,24.3940,24.3940,33.62,100,15,16,13,0,0,0,0
74DA3895C2BA,2018-07-13 11:03:01,24.2150,24.2150,36.12,75,46,61,33,0,0,0,0
74DA3895C2BE,2018-07-13 11:05:24,24.1640,24.1640,34.25,80,17,19,14,0,0,0,0
74DA3895C2C4,2018-07-13 11:04:10,24.1900,24.1900,32,100,39,50,27,0,0,0,0
74DA3895C2C6,2018-07-13 11:00:45,24.124155,24.124155,30.25,71,36,45,26,0,0,0,0
74DA3895C2CE,2018-07-13 11:02:04,24.128908,24.128908,33.5,98,45,54,32,0,0,0,0
74DA3895C2D0,2018-07-13 11:03:26,24.151152,24.151152,30.75,70,49,61,36,0,0,0,0
74DA3895C2D2,2018-07-13 11:05:34,24.176992,24.176992,32.25,38,26,29,20,0,0,0,0
74DA3895C2DE,2018-07-13 11:05:06,24.123217,24.123217,30.37,80,45,59,33,0,0,0,0
74DA3895C2E2,2018-07-13 11:03:31,24.179,24.179,28.62,71,7,7,5,0,0,0,0
74DA3895C2F2,2018-07-13 11:04:09,24.299,24.299,30.12,96,32,39,22,0,0,0,0
74DA3895C2F4,2018-07-13 11:01:53,25.0330,25.0330,30,65,21,21,18,0,0,0,0
74DA3895C2F8,2018-07-13 11:04:56,24.1200,24.1200,37.75,100,36,45,26,0,0,0,0
74DA3895C2FA,2018-07-13 11:05:42,24.3500,24.3500,38.37,100,26,31,19,0,0,0,0
74DA3895C304,2018-07-13 11:01:48,24.263406,24.263406,29.25,100,47,60,34,0,0,0,0
74DA3895C308,2018-07-13 11:00:35,24.0630,24.0630,31.12,100,25,30,18,0,0,0,0
74DA3895C30A,2018-07-13 11:02:27,24.2250,24.2250,33.37,89,34,43,24,0,0,0,0
74DA3895C30C,2018-07-13 11:05:32,24.162,24.162,31.87,100,43,54,31,0,0,0,0
74DA3895C30E,2018-07-13 11:04:40,24.168472,24.168472,30.25,100,31,38,23,0,0,0,0
74DA3895C310,2018-07-13 11:01:38,24.168459,24.168459,36.62,83,38,48,28,0,0,0,0
74DA3895C314,2018-07-13 11:02:41,24.214,24.214,31.62,82,53,66,41,0,0,0,0
74DA3895C318,2018-07-13 11:00:10,24.1340,24.1340,28.87,70,20,22,15,0,0,0,0
74DA3895C31E,2018-07-13 11:03:04,24.1560,24.1560,32.25,63,40,50,29,0,0,0,0
74DA3895C320,2018-07-13 11:04:53,24.1900,24.1900,31.75,100,46,57,35,0,0,0,0
74DA3895C322,2018-07-13 11:02:37,24.1160,24.1160,31.37,100,40,50,29,0,0,0,0
74DA3895C324,2018-07-13 11:01:57,24.2260,24.2260,31.25,100,50,65,36,0,0,0,0
74DA3895C32A,2018-07-13 11:04:23,25.0120,25.0120,32.12,63,0,0,0,0,0,0,0
